PRESS,RH_DP,TEMP,WIND,CO,NO2,OZONE,SO2,N_ATRIBUTTES,RMSE
1,0,0,1,1,1,0,1,3,"0,3746762574"
1,1,1,1,0,0,1,0,3,"0,3396900594"
1,1,1,0,0,0,1,1,3,"0,3296175003"
1,1,0,1,0,1,1,0,3,"0,3377866149"
1,1,0,1,0,0,1,1,3,"0,3279767632"
1,0,0,1,1,0,0,1,4,"0,3320845962"
1,1,1,0,0,0,1,0,4,"0,3294879496"
1,1,1,0,0,0,0,1,4,"0,3369346261"
1,0,0,1,0,1,1,0,4,"0,3322886527"
1,0,0,1,0,0,1,1,4,"0,3292672634"
0,0,0,1,1,0,0,1,5,"0,3283601701"
0,1,1,0,0,0,1,0,5,"0,3286489844"
1,1,1,0,0,0,0,0,5,"0,3273738623"
1,0,0,1,0,1,0,0,5,"0,3290916383"
0,0,0,1,0,0,1,1,5,"0,3263611794"
0,0,0,0,0,0,0,1,7,"0,3217568696"
0,0,0,0,0,0,0,0,8,"0,3260990679"